"noise","carsize","type"
810,"small car","normal filter"
820,"small car","normal filter"
820,"small car","normal filter"
840,"medium car","normal filter"
840,"medium car","normal filter"
845,"medium car","normal filter"
785,"large car","normal filter"
790,"large car","normal filter"
785,"large car","normal filter"
835,"small car","normal filter"
835,"small car","normal filter"
835,"small car","normal filter"
845,"medium car","normal filter"
855,"medium car","normal filter"
850,"medium car","normal filter"
760,"large car","normal filter"
760,"large car","normal filter"
770,"large car","normal filter"
820,"small car","Octel filter"
820,"small car","Octel filter"
820,"small car","Octel filter"
820,"medium car","Octel filter"
820,"medium car","Octel filter"
825,"medium car","Octel filter"
775,"large car","Octel filter"
775,"large car","Octel filter"
775,"large car","Octel filter"
825,"small car","Octel filter"
825,"small car","Octel filter"
825,"small car","Octel filter"
815,"medium car","Octel filter"
825,"medium car","Octel filter"
825,"medium car","Octel filter"
770,"large car","Octel filter"
760,"large car","Octel filter"
765,"large car","Octel filter"
