"x" "y"
7.128 65.016
5.351 59.846
8.358 47.366
8.443 72.511
-2.992 -3.052
9.13 64.035
8.324 57.315
-9.153 -75.114
2.219 159.823
-2.096 47.447
6.633 57.094
10.985 120.697
-0.821 -9.013
3.091 79.858
-0.063 58.279
-1.973 -19.047
19.648 153.687
-1.07 5.413
15.191 113.697
26.759 230.597
21.496 141.406
-2.865 -32.804
29.044 220.569
13.709 122.827
-8.248 -95.418
-2.812 -158.24
8.282 56.171
6.175 47.212
-1.342 -3.376
-1.266 5.349
10.925 35.103
-1.841 -13.867
-2.014 64.457
-18.595 -33.909
1.068 75.968
-14.583 -84.113
26.696 284.29
24.083 187.349
25.406 176.711
-1.259 -7.07
-4.201 -26.47
-1.825 -2.768
-14.301 -92.589
10.633 76.602
-4.966 -15.644
14.008 46.177
-6.432 -66.71
-18.104 -184.318
12.108 99.686
-8.333 -83.296
2.082 -14.321
3.045 19.143
-2.257 -15.409
14.779 109.476
13.375 95.516
2.707 24.005
6.015 44.901
-0.528 11.624
-0.886 20.173
4.352 32.067
10.734 33.49
3.802 13.709
-7.665 -145.631
-4.054 -23.474
6.589 64.374
-6.711 -35.849
5.295 92.88
3.855 52.087
5.982 93.241
3.893 10.326
23.214 146.384
-0.739 -41.707
4.785 34.529
17.618 243.751
1.96 -6.799
15.912 152.907
-6.389 19.891
5.985 37.553
9.208 18.402
-0.809 80.427
12.469 84.769
15.799 119.197
-6.754 -47.313
-23.613 -157.483
-14.185 -90.111
4.866 77.174
-6.934 -47.903
8.809 83.104
6.804 53.658
12.17 99.137
11.406 72.562
18.523 146.759
0.216 43.825
1.69 0.801
-14.101 -132.405
-14.772 -78.462
-4.155 -30.164
11.627 111.666
10.081 115.732
-2.528 1.993
15.096 122.259
-20.239 -172.574
-7.981 -53.523
-10.162 -98.3
8.269 62.933
4.252 25.097
-1.979 35.447
-13.804 -8.48
-5.985 24.891
9.632 90.66
-11.609 -107.524
11.549 103.917
-3.938 -20.934
3.979 46.61
-1.816 30.685
0.971 -6.539
-0.01 0.559
-3.246 -13.869
14.231 98.438
4.276 64.281
9.313 63.675
3.242 23.27
16.601 36.786
23.798 168.38
25.754 210.034
-18.02 -157.131
14.738 84.285
14.032 106.278
11.757 35.891
2.251 -26.898
-2.708 -10.908
4.393 109.663
18.848 86.319
1.139 27.47
-0.78 51.869
-4.52 -39.411
6.312 65.221
-0.859 12.162
-10.45 -63.622
-7.381 -49.553
-1.046 37.115
2.827 127.366
4.727 110.563
19.91 180.991
17.837 125.669
9.189 79.357
2.568 99.062
-1.438 46.381
-5.496 -35.016
9.089 74.822
-12.554 -68.778
3.039 42.174
15.917 162.569
19.948 161.913
3.044 -10.421
-12.829 -78.527
18.443 228.487
-10.13 -44.156
1.167 28.405
6.145 37.305
-6.964 -41.763
-20.796 -147.586
19.594 147.955
6.845 2.738
-1.118 0.763
19.411 128.443
3.833 44.623
-5.13 -16.847
-3.051 -30.172
0.044 8.394
15.447 81.972
20.911 153.23
-0.988 23.615
8.774 72.995
-8.392 -55.512
-2.597 -23.116
13.605 88.191
1.195 14.618
10.396 77.344
-7.7 1.073
16.781 135.262
14.81 99.229
11.875 92.61
-0.763 4.959
-12.128 -88.031
13.951 117.774
9.612 78.837
-1.629 -3.266
-0.939 20.625
7.232 66.138
5.329 52.374
-0.52 2.745
-10.596 -73.035
10.852 79.787
12.518 182.496
-1.65 -8.727
13.348 99.419
1.488 -2.026
2.089 84.922
2.778 13.424
-6.234 -45.596
13.582 104.04
4.365 73.576
2.689 41.459
1.88 69.135
-4.275 -10.385
14.967 96.047
-1.102 -89.707
-13.005 -81.791
18.461 139.026
14.55 77.148
10.437 91.212
-4.574 -150.18
3.993 35.634
9.126 84.982
-20.035 -131.546
11.996 90.388
-18.459 -113.54
11.482 100.677
1.53 34.024
23.317 294
-0.333 29.998
14.417 111.496
10.522 116.333
1.284 30.063
12.426 94.602
-9.324 -36.169
16.802 100.638
3.094 43.111
8.122 26.071
1.092 24.515
-12.815 -92.727
-0.914 8.352
1.799 47.478
28.56 203.33
21.178 131.407
5.556 -30.068
-1.139 67.087
-0.537 34.539
-9.119 -53.797
-13.327 -40.099
-12.768 -104.018
1.979 -80.562
10.338 94.018
0.617 -36.099
-5.656 -31.41
6.832 50.065
7.661 92.814
-11.515 -80.467
-3.215 71.848
-9.705 -72.759
7.215 69.613
-11.593 -76.003
-2.809 -37.409
-0.39 78.81
8.713 68.664
18.234 145.664
4.337 -10.019
1.568 29.078
4.292 -2.616
-18.172 -89.149
-8.789 -54.015
22.122 160.707
3.512 57.83
-11.646 -69.685
-1.749 -0.675
-4.542 -16.125
2.307 71.011
5.176 42.738
2.037 25.411
-12.137 -70.056
-0.896 8.57
2.549 21.998
2.869 -56.986
3.268 -36.782
0.494 47.471
-17.42 -115.063
-4.328 81.776
12.015 83.025
3.28 14.5
12.164 101.7
-21.9 -163.286
-0.313 26.431
10.154 90.433
6.071 54.995
8.337 70.644
-16.592 -95.181
4.527 140.32
6.456 61.913
-0.639 -13.319
2.333 38.407
4.934 37.753
19.398 168.492
-23.873 -143.97
-7.069 -44.144
12.755 122.257
4.286 33.54
8.449 65.96
11.592 64.592
1.781 29.893
-17.392 -98.944
-0.667 -38.982
-6.054 -48.197
-0.586 -5.792
3.785 33.911
6.146 52.655
4.823 48.604
-8.953 11.402
13.179 112.914
-1.737 22.294
-6.111 -2.699
2.142 -51.396
7.042 11.326
-13.469 -77.621
-6.389 -37.421
-0.406 17.382
-23.115 -85.469
4.384 50.752
-2.781 27.676
-4.588 -16.824
-19.873 -92.143
14.389 118.976
14.724 112.947
11.904 69.206
24.699 201.108
6.57 74.958
10.219 66.907
0.415 -11.723
-5.738 -10.947
9.201 79.459
4.669 -0.725
-6.649 -98.587
-2.433 23.894
-9.139 -59.659
16.463 112.71
-4.691 -15.071
-0.844 12.829
0.749 64.851
-6.896 -60.029
3.882 50.731
8.973 107.511
-7.313 -36.791
7.764 46.99
0.028 8.82
22.76 154.962
6.368 56.274
-9.536 24.256
15.18 117.726
8.092 69.416
4.86 45.159
1.282 19.567
-4.753 -69.087
-1.388 53.007
14.147 187.195
-0.837 7.402
13.459 104.859
11.459 142.046
7.414 21.386
21.691 153.859
10.031 62.344
-2.728 -24.265
