ÊUnited States,39,41,33
ÊChina,38,32,19
ÊJapan*,27,14,17
ÊGreat Britain,22,20,22
ÊROC,20,28,23
ÊAustralia,17,7,22
ÊNetherlands,10,12,14
ÊFrance,10,12,11
ÊGermany,10,11,16
ÊItaly,10,10,20
ÊCanada,7,7,10
ÊBrazil,7,6,8
ÊNew Zealand,7,6,7
ÊCuba,7,3,5
ÊHungary,6,7,7
ÊSouth Korea,6,4,10
ÊPoland,4,5,5
ÊCzech Republic,4,4,3
ÊKenya,4,4,2
ÊNorway,4,2,2
ÊJamaica,4,1,4
ÊSpain,3,8,6
ÊSweden,3,6,0
ÊSwitzerland,3,4,6
ÊDenmark,3,4,4
ÊCroatia,3,3,2
ÊIran,3,2,2
ÊSerbia,3,1,5
ÊBelgium,3,1,3
ÊBulgaria,3,1,2
ÊSlovenia,3,1,1
ÊUzbekistan,3,0,2
ÊGeorgia,2,5,1
ÊChinese Taipei,2,4,6
ÊTurkey,2,2,9
ÊGreece,2,1,1
ÊUganda,1,1,4
ÊEcuador,2,1,0
ÊIreland,2,0,2
ÊIsrael,0,2,4
ÊQatar,2,0,1
ÊBahamas,2,0,0
ÊKosovo,0,0,2
ÊUkraine,1,6,12
ÊBelarus,1,3,3
ÊRomania,1,3,0
ÊVenezuela,3,0,4
ÊIndia,1,2,4
ÊHong Kong,1,2,3
ÊPhilippines,1,2,1
ÊSlovakia,2,1,4
ÊSouth Africa,1,2,0
ÊAustria,1,1,5
ÊEgypt,1,1,4
ÊIndonesia,1,1,3
ÊEthiopia,1,1,2
ÊPortugal,1,2,4
ÊTunisia,1,1,0
ÊEstonia,1,0,1
ÊFiji,0,1,2
ÊLatvia,0,1,2
ÊThailand,0,1,2
ÊBermuda,1,0,0
ÊMorocco,0,0,1
ÊPuerto Rico,0,0,1
ÊColombia,0,4,1
ÊAzerbaijan,0,3,4
ÊDominican Republic,0,3,2
ÊArmenia,0,2,2
ÊKyrgyzstan,0,2,1
ÊMongolia,0,1,3
ÊArgentina,0,1,2
ÊSan Marino,1,2,3
ÊJordan,0,1,1
ÊMalaysia,1,1,2
ÊNigeria,1,1,2
ÊBahrain,0,1,0
ÊLithuania,1,0,1
ÊNamibia,1,0,1
ÊNorth Macedonia,1,0,1
ÊSaudi Arabia,1,0,1
ÊTurkmenistan,1,0,1
ÊKazakhstan,0,0,8
ÊMexico,0,0,4
ÊFinland,0,0,2
ÊBotswana,0,0,1
ÊBurkina Faso,0,1,1
ÊGhana,0,1,1
ÊGrenada,0,1,1
ÊIvory Coast,0,1,1
ÊKuwait,0,1,1
ÊMoldova,0,1,1
ÊSyria,0,1,1
