China,48,22,30
UnitedStates,36,39,37
Russia,24,13,23
GreatBritain,19,13,19
Germany,16,11,14
Australia,14,15,17
SouthKorea,13,11,8
Japan,9,8,8
Italy,8,9,10
France,7,16,20
Netherlands,7,5,4
Ukraine,7,4,11
Kenya,6,4,6
Spain,5,11,3
Jamaica,5,4,2
Poland,4,5,2
Ethiopia,4,2,1
Romania,4,1,4
Cuba,3,10,17
Canada,3,9,8
Hungary,3,5,2
Norway,3,5,1
Brazil,3,4,10
Belarus,3,4,7
CzechRepublic,3,3,1
Slovakia,3,3,0
NewZealand,3,2,4
Georgia,3,2,2
Kazakhstan,2,3,4
Denmark,2,2,3
NorthKorea,2,2,2
Thailand,2,2,6
Mongolia,2,2,0
Switzerland,2,1,4
Argentina,2,0,4
Mexico,2,0,2
Belgium,2,0,0
Zimbabwe,1,3,0
Slovenia,1,2,2
Azerbaijan,1,1,4
Indonesia,1,4,6
Bulgaria,1,1,3
Turkey,1,3,5
ChineseTaipei,1,1,2
Finland,1,2,4
Latvia,1,1,1
DominicanRepublic,1,1,0
Estonia,1,0,2
Portugal,1,0,2
TrinidadandTobago,1,0,2
India,1,0,2
Iran,1,0,1
Cameroon,1,0,0
Panama,0,0,1
Tunisia,0,0,1
Sweden,0,4,1
Lithuania,0,3,2
Nigeria,3,2,5
Croatia,0,2,3
Colombia,0,2,1
Greece,2,1,3
Armenia,0,1,4
Uzbekistan,0,1,3
Austria,0,1,2
Ireland,1,2,3
Kyrgyzstan,1,2,3
Serbia,1,2,3
Algeria,0,1,1
Bahamas,1,1,2
Morocco,1,1,2
Tajikistan,1,1,2
Chile,0,1,0
Ecuador,1,0,1
Iceland,1,0,1
Malaysia,1,0,1
Samoa,1,0,1
Singapore,1,0,1
SouthAfrica,1,0,1
Sudan,1,0,1
Vietnam,1,0,1
Egypt,0,0,2
Afghanistan,0,0,1
Israel,0,1,1
Mauritius,0,1,1
Moldova,0,1,1
Togo,0,1,1
Venezuela,0,1,1
